symptoms,urgency,scenario_id
I have a mild sore throat and need advice.,Low,L04
Can someone help me? I have slight bloating after meals.,Low,L31
I have been having slight loss of appetite for one day but I can drink normally since yesterday.,Low,L38
I would like to get checked because I have possible stroke symptoms.,High,H07
I would like to get checked because I have worsening fatigue with fever and poor appetite.,Moderate,M40
Can someone help me? I have pain that is strong enough to limit my normal activities.,Moderate,M03
"Persistent vomiting and difficulty keeping food down, and it is bothering me.",Moderate,M02
Been having moderate abdominal pain that is not improving for the past three days.,Moderate,M09
I have been having persistent sinus pain with fever; and it has not improved.,Moderate,M35
"For the past couple of days, I have had a very red painful eye but I can still see normally.",Moderate,M30
Can someone help me? I have a deep wound with blood spurting or flowing heavily.,High,H23
Symptoms: a cough that has persisted for more than a week.,Moderate,M26
Symptoms: worsening asthma symptoms but I can still speak normally.,Moderate,M12
The problem is a deep wound with blood spurting or flowing heavily since yesterday.,High,H23
Been having severe asthma symptoms and unable to speak full sentences since this morning.,High,H35
I am experiencing mild tooth sensitivity.,Low,L23
I am experiencing itchy watery eyes.,Low,L06
I am experiencing thoughts of suicide with an immediate plan to act.,High,H27
I am experiencing a widespread rash with fever but no breathing difficulty; and I am concerned about it.,Moderate,M27
I have moderate abdominal pain that is not improving and need advice.,Moderate,M09
I would like to get checked because I have a sore throat with fever and difficulty swallowing food.,Moderate,M36
I have slight nausea without vomitting and need advice.,Low,L12
Been having a mild headache since yesterday.,Low,L01
I have mild indigestion and need advice.,Low,L30
I have mild sinus presure with no fever and need advice.,Low,L26
I would like to get checked because I have several seizures occurring close together.,High,H18
Been having minor ankle soreness and I can still walk normally over the last few days.,Low,L13
"Mild eye irritation without vision changes, and I am not sure what to do.",Low,L33
Symptoms: repeated heart palpitations without chest pain or fainting.,Moderate,M22
Been having a strong headache with dizziness but no weakness on one side over the last few days.,Moderate,M13
I would like to get checked because I have vomiting during pregnancy and struggling to keep fluids down.,Moderate,M31
I would like to get checked because I have mild indigestion.,Low,L30
I am experiencing a deep wound with blood spurting or flowing heavily; and I am concerned about it.,High,H23
"Itchy watery eyes, and I would like medical advice.",Low,L06
I have vomitting during pregnancy and struggling to keep fluids down and need advice.,Moderate,M31
I've got uncontrolled bleeding after a serious accident.,High,H38
I am experiencing slight nausea without vomiting.,Low,L12
I've got worsening asthma symptoms but I can still speak normally.,Moderate,M12
I have coughing up blood together with breathing dificulty and need advice.,High,H11
I've got a very red painful eye but I can still see normally for two days.,Moderate,M30
Can someone help me? I have sudden inability to speak clearly with one-sided weakness.,High,H09
I would like to get checked because I have dizziness that keeps coming back.,Moderate,M04
I would like to get checked because I have a chronic condition that has become noticeably worse.,Moderate,M19
Been having coughing up blood together with breathing difficulty since yesterday.,High,H11
"For the past couple of days, I have had a seizure.",High,H06
Been having sudden inability to speak clearly with one-sided weakness since last night.,High,H09
I'm worried about severe shortness of breath while sitting still since this morning.,High,H19
I have pain that is strong enough to limit my normal activities and need advice.,Moderate,M03
"An infected cut with increasing redness and swelling, and I am concerned about it.",Moderate,M15
My main problem is uncontrolled bleeding after a serious accident; and it seems to be getting worse.,High,H38
I have I cannot breathe properly and need advice.,High,H03
"For the past couple of days, I have had slight loss of appetite for one day but I can drink normally.",Low,L38
I'm worried about severe difficulty breathing at rest; and I would like to speak to a clinician.,High,H02
Can someone help me? I have a dry patch of skin.,Low,L25
I have been having repeated vomiting over several hours.,Moderate,M17
Been having dental swelling and significant tooth pain over the last few days.,Moderate,M29
I need help with mild indigestion; and I am concerned about it.,Low,L30
"Severe abdominal pain together with fainting, and it is bothering me.",High,H29
"Blue lips together with severe breathing difficulty, and I am concerned about it.",High,H13
Can someone help me? I have ongoing nausea with reduced food and fluid intake.,Moderate,M25
Can someone help me? I have repeated heart palpitations without chest pain or fainting.,Moderate,M22
I would like to get checked because I have a migraine with nausea and sensitivity to light.,Moderate,M21
"Moderate wheezing that improves when i rest, and I would like medical advice.",Moderate,M37
I would like to get checked because I have minor finger soreness after bumping it.,Low,L40
I have mild neck stiffness after sleeping awkwardly and need advice.,Low,L24
I would like to get checked because I have fever that has continued for three days.,Moderate,M20
"Minor muscle aches after exercise, and it has not improved.",Low,L07
Can someone help me? I have sudden severe weakness on one side of the body.,High,H20
My main problem is a seizure; and I am not sure what to do.,High,H06
I have a collapse and the person is not waking properly and need advice.,High,H16
Been having recurrent abdominal cramps with vomiting since yesterday.,Moderate,M38
Symptoms: a mildly hoarse voice.,Low,L27
I have slight tiredness after poor sleep.,Low,L16
I have a dry patch of skin for several hours.,Low,L25
"Severe difficulty breathing at rest, and it has not improved.",High,H02
I have been having moderate wheezing that improves when I rest since this morning.,Moderate,M37
"For the past couple of days, I have had persistent ear pain together with fever.",Moderate,M16
"Worsening asthma symptoms but i can still speak normally, and it seems to be getting worse.",Moderate,M12
"Fever with body aches and weakness, and it has not improved.",Moderate,M10
"Sudden inability to speak clearly with one-sided weakness, and it is bothering me.",High,H09
Been having mild seasonal allergy symptoms for the past three days.,Low,L32
Symptoms: a minor rash with no fever or swelling.,Low,L34
I'm worried about a severe allergic reaction with throat swelling and breathing difficulty for the past three days.,High,H12
Can someone help me? I have a severe head injury followed by loss of consciousness.,High,H14
I have rapid swelling of the tongue or throat and need advice.,High,H34
Symptoms: a small itchy insect bite.,Low,L22
I have persistent vomiting and dificulty keeping food down and need advice.,Moderate,M02
I am experiencing sudden confusion together with difficulty speaking; and it has not improved.,High,H21
Can someone help me? I have mild cold symptoms.,Low,L15
The problem is a widespread rash with fever but no breathing difficulty since yesterday.,Moderate,M27
I have been having worsening fatigue with fever and poor appetite; and I am not sure what to do.,Moderate,M40
I would like to get checked because I have a mild sore throat.,Low,L04
Been having mild shoulder soreness after carrying bags over the last few days.,Low,L29
I would like to get checked because I have back pain that is making normal movement difficult.,Moderate,M23
Been having persistent sinus pain with fever since yesterday.,Moderate,M35
Symptoms: a mild sore throat.,Low,L04
Been having a nosebleed that keeps returning but stops with pressure for several hours.,Moderate,M34
Symptoms: a worsening cough together with fever.,Moderate,M08
I've got an allergic rash with swelling but normal breathing over the last few days.,Moderate,M32
I have occasional constipation without sevre pain and need advice.,Low,L19
The problem is a cough that has persisted for more than a week for several hours.,Moderate,M26
Been having a chronic condition that has become noticeably worse for the past three days.,Moderate,M19
I've got worsening fatigue with fever and poor appetite.,Moderate,M40
Lately I have had a migraine with nausea and sensitivity to light.,Moderate,M21
Been having severe breathing difficulty with confusion or extreme drowsiness since this morning.,High,H40
Can someone help me? I have a very red painful eye but I can still see normally.,Moderate,M30
I have been having mild skin itching with no swelling; and I am concerned about it.,Low,L20
I'm worried about sudden crushing chest pain with sweating and nausea; and I would like medical advice.,High,H37
"For the past couple of days, I have had a mildly hoarse voice.",Low,L27
"For the past couple of days, I have had a painful burn over a small area of skin.",Moderate,M28
I would like to get checked because I have a chemical injury to the eye with severe pain and vision changes.,High,H33
Lately I have had fever that has continued for three days.,Moderate,M20
I have a very red painful eye but I can still see normally and need advice.,Moderate,M30
Symptoms: a collapse and the person is not waking properly.,High,H16
I need help with black tar-like stool together with severe weakness or faintness over the last few days.,High,H31
I would like to get checked because I have a mild cough with no breathing difficulty.,Low,L37
"For the past couple of days, I have had mild ear discomfort without fever.",Low,L14
"A red painful wound that looks infected, and it is bothering me.",Moderate,M06
I have slight tiredness after poor sleep since last night.,Low,L16
I'm worried about mild shoulder soreness after carrying bags.,Low,L29
I have a runny nose with sneezing and need advice.,Low,L02
The problem is persistent ear pain together with fever; and I would like to speak to a clinician.,Moderate,M16
"Persistent sinus pain with fever, and it seems to be getting worse.",Moderate,M35
Symptoms: persistent sinus pain with fever.,Moderate,M35
Can someone help me? I have a blocked nose.,Low,L03
I have a seizure that has continued for several minutes; and I am concerned about it.,High,H17
Been having a severe injury to the chest with breathing difficulty for two days.,High,H36
I've got rapid swelling of the tongue or throat for the past three days.,High,H34
Been having a mildly hoarse voice for several hours.,Low,L27
Been having a worsening cough together with fever for two days.,Moderate,M08
"Mild skin itching with no swelling, and it seems to be getting worse.",Low,L20
I have slight bloating after meals and need advice.,Low,L31
Symptoms: occasional constipation without severe pain.,Low,L19
"For the past couple of days, I have had strong chest pressure spreading to the arm or jaw.",High,H15
Been having a suspected medication overdose with severe drowsiness since last night.,High,H24
Symptoms: painful urination with fever.,Moderate,M07
I have a sevre injury to the chest with breathing difficulty and need advice.,High,H36
Can someone help me? I have a red painful wound that looks infected.,Moderate,M06
I need help with sudden loss of vision in one or both eyes; and I am not sure what to do.,High,H32
Been having black tar-like stool together with severe weakness or faintness for the past three days.,High,H31
"For the past couple of days, I have had a swollen painful joint.",Moderate,M14
"For the past couple of days, I have had a migraine with nausea and sensitivity to light.",Moderate,M21
"For the past couple of days, I have had mild indigestion.",Low,L30
I would like to get checked because I have severe abdominal pain together with fainting.,High,H29
I am experiencing mild knee pain after exercise for several hours.,Low,L28
I need help with a severe injury to the chest with breathing difficulty for several hours.,High,H36
I have minor finger soreness after bumping it and need advice.,Low,L40
I am dealing with sudden loss of vision in one or both eyes.,High,H32
I've got I cannot breathe properly for several hours.,High,H03
I need help with black tar-like stool together with severe weakness or faintness; and it has not improved.,High,H31
Can someone help me? I have vomiting during pregnancy and struggling to keep fluids down.,Moderate,M31
"Signs of dehydration such as a dry mouth and very little urine, and I would like to speak to a clinician.",Moderate,M05
Can someone help me? I have shortness of breath when walking but I can breathe while resting.,Moderate,M18
"For the past couple of days, I have had a nosebleed that keeps returning but stops with pressure.",Moderate,M34
I would like to get checked because I have mild heartburn after eating.,Low,L18
Lately I have had itchy watery eyes for several hours.,Low,L06
Been having a red painful wound that looks infected for the past three days.,Moderate,M06
I've got a mild headache.,Low,L01
My main problem is a chronic condition that has become noticeably worse for several hours.,Moderate,M19
I've got a small cut with light bleeding that stops with pressure; and I am concerned about it.,Low,L36
I need help with strong chest pressure spreading to the arm or jaw over the last few days.,High,H15
"A widespread rash with fever but no breathing difficulty, and I am not sure what to do.",Moderate,M27
I would like to get checked because I have a severe allergic reaction with throat swelling and breathing difficulty.,High,H12
I have a mild sore throat for several hours.,Low,L04
I am dealing with repeated heart palpitations without chest pain or fainting.,Moderate,M22
Lately I have had slight nausea without vomiting; and I am not sure what to do.,Low,L12
Lately I have had a high fever that has lasted for several days for two days.,Moderate,M01
I'm worried about dizziness that keeps coming back.,Moderate,M04
"For the past couple of days, I have had persistent vomiting and difficulty keeping food down.",Moderate,M02
I have uncontrolled bleeding after a serious accident and need advice.,High,H38
Been having fever with body aches and weakness for two days.,Moderate,M10
"For the past couple of days, I have had ongoing nausea with reduced food and fluid intake.",Moderate,M25
I've got heavy bleeding during pregnancy with severe abdominal pain; and I am not sure what to do.,High,H26
Can someone help me? I have mild heartburn after eating.,Low,L18
Been having mild tooth sensitivity over the last few days.,Low,L23
I'm worried about vomiting blood.,High,H30
I would like to get checked because I have a severe injury to the chest with breathing difficulty.,High,H36
I would like to get checked because I have slight loss of appetite for one day but I can drink normally.,Low,L38
I would like to get checked because I have minor muscle aches after exercise.,Low,L07
I have strong chest presure spreading to the arm or jaw and need advice.,High,H15
I have worsening asthma symptoms but I can still speak normally and need advice.,Moderate,M12
"Painful urination with fever, and it is bothering me.",Moderate,M07
"Mild shoulder soreness after carrying bags, and it is bothering me.",Low,L29
I've got mild arm soreness after normal activity; and I am concerned about it.,Low,L35
Lately I have had an infected cut with increasing redness and swelling for two days.,Moderate,M15
I'm worried about a mild tension headache after a stressful day.,Low,L39
I am dealing with slight loss of appetite for one day but I can drink normally.,Low,L38
"Mild menstrual cramps that are manageable, and I am concerned about it.",Low,L21
The problem is a red painful wound that looks infected since this morning.,Moderate,M06
Can someone help me? I have sudden crushing chest pain with sweating and nausea.,High,H37
I have mild arm soreness after normal activity and need advice.,Low,L35
Been having rapid swelling of the tongue or throat for several hours.,High,H34
I have a mild headache for several hours.,Low,L01
"A chemical injury to the eye with severe pain and vision changes, and it is bothering me.",High,H33
"Ongoing nausea with reduced food and fluid intake, and I am not sure what to do.",Moderate,M25
"For the past couple of days, I have had mild neck stiffness after sleeping awkwardly.",Low,L24
Lately I have had loss of consciousness and not responding normally.,High,H05
The problem is a severe injury to the chest with breathing difficulty; and I would like to speak to a clinician.,High,H36
I am dealing with shortness of breath when walking but I can breathe while resting since yesterday.,Moderate,M18
The problem is a serious burn involving the face or airway.,High,H25
I am experiencing severe chest pain since this morning.,High,H01
Been having a mild sore throat over the last few days.,Low,L04
"Heavy bleeding during pregnancy with severe abdominal pain, and I am not sure what to do.",High,H26
Been having a severe head injury followed by loss of consciousness for two days.,High,H14
Can someone help me? I have thoughts of suicide with an immediate plan to act.,High,H27
I have mild arm soreness after normal activity for two days.,Low,L35
Can someone help me? I have a high fever that has lasted for several days.,Moderate,M01
Can someone help me? I have a painful burn over a small area of skin.,Moderate,M28
The problem is mild menstrual cramps that are manageable since this morning.,Low,L21
Symptoms: a severe allergic reaction with throat swelling and breathing difficulty.,High,H12
Been having thoughts of suicide with an immediate plan to act for several hours.,High,H27
The problem is becoming unresponsive after taking an unknown substance.,High,H39
I've got severe asthma symptoms and unable to speak full sentences; and it is bothering me.,High,H35
I have minor muscle aches after exercise; and I am concerned about it.,Low,L07
Can someone help me? I have back pain that is making normal movement difficult.,Moderate,M23
I am dealing with a chemical injury to the eye with severe pain and vision changes.,High,H33
I am dealing with a migraine with nausea and sensitivity to light; and it seems to be getting worse.,Moderate,M21
Lately I have had a small itchy insect bite.,Low,L22
Symptoms: slight loss of appetite for one day but I can drink normally.,Low,L38
I have been having sudden confusion together with difficulty speaking.,High,H21
"Black tar-like stool together with severe weakness or faintness, and I would like to speak to a clinician.",High,H31
I would like to get checked because I have mild ear discomfort without fever.,Low,L14
Been having dizziness that keeps coming back since this morning.,Moderate,M04
Been having mild cold symptoms for the past three days.,Low,L15
"Repeated heart palpitations without chest pain or fainting, and I am concerned about it.",Moderate,M22
Symptoms: a small bruise with no major swelling.,Low,L17
"For the past couple of days, I have had coughing up blood together with breathing difficulty.",High,H11
Been having sudden severe weakness on one side of the body for the past three days.,High,H20
The problem is a severe injury to the chest with breathing difficulty.,High,H36
I'm worried about a very high fever with stiff neck and confusion.,High,H28
I have thoughts of suicide with an immediate plan to act; and I would like to speak to a clinician.,High,H27
I would like to get checked because I have sudden crushing chest pain with sweating and nausea.,High,H37
The problem is mild indigestion since last night.,Low,L30
I am dealing with a very red painful eye but I can still see normally; and it has not improved.,Moderate,M30
"For the past couple of days, I have had rapid swelling of the tongue or throat.",High,H34
I have a red painful wound that looks infected; and I would like to speak to a clinician.,Moderate,M06
I would like to get checked because I have a collapse and the person is not waking properly.,High,H16
I would like to get checked because I have a widespread rash with fever but no breathing difficulty.,Moderate,M27
I have fever with body aches and weakness for the past three days.,Moderate,M10
"For the past couple of days, I have had painful urination with fever.",Moderate,M07
The problem is back pain that is making normal movement difficult.,Moderate,M23
I would like to get checked because I have sudden confusion together with difficulty speaking.,High,H21
I'm worried about slight bloating after meals for several hours.,Low,L31
Can someone help me? I have a cough that has persisted for more than a week.,Moderate,M26
I have minor ankle soreness and I can still walk normally for the past three days.,Low,L13
I am dealing with persistent vomiting and difficulty keeping food down since yesterday.,Moderate,M02
"For the past couple of days, I have had a deep wound with blood spurting or flowing heavily.",High,H23
"For the past couple of days, I have had vomiting blood.",High,H30
"Sudden face drooping with weakness in one arm, and I am concerned about it.",High,H08
I have dizzyness that keeps coming back and need advice.,Moderate,M04
Been having uncontrolled bleeding after a serious accident for the past three days.,High,H38
I am experiencing minor finger soreness after bumping it since this morning.,Low,L40
"For the past couple of days, I have had sudden confusion together with difficulty speaking.",High,H21
I would like to get checked because I have sudden loss of vision in one or both eyes.,High,H32
I have signs of dehydration such as a dry mouth and very little urine and need advice.,Moderate,M05
I am dealing with a small itchy insect bite; and I am concerned about it.,Low,L22
I need help with persistent ear pain together with fever over the last few days.,Moderate,M16
Can someone help me? I have sudden confusion together with difficulty speaking.,High,H21
Symptoms: mild tooth sensitivity.,Low,L23
I need help with a blocked nose over the last few days.,Low,L03
Can someone help me? I have a seizure.,High,H06
Been having sudden confusion together with difficulty speaking since this morning.,High,H21
Been having mild knee pain after exercise since yesterday.,Low,L28
I need help with sudden severe weakness on one side of the body; and I would like medical advice.,High,H20
Can someone help me? I have persistent ear pain together with fever.,Moderate,M16
Been having worsening fatigue with fever and poor appetite since this morning.,Moderate,M40
I'm worried about sudden inability to speak clearly with one-sided weakness over the last few days.,High,H09
"A high fever that has lasted for several days, and I would like to speak to a clinician.",Moderate,M01
I am dealing with severe chest pain.,High,H01
My main problem is sudden crushing chest pain with sweating and nausea.,High,H37
"For the past couple of days, I have had uncontrolled bleeding after a serious accident.",High,H38
I have a painful swolen finger that may be infected and need advice.,Moderate,M39
Been having a swollen ankle after a fall and walking is painful for two days.,Moderate,M24
Lately I have had moderate wheezing that improves when I rest; and I would like to speak to a clinician.,Moderate,M37
"For the past couple of days, I have had minor finger soreness after bumping it.",Low,L40
I have been having a suspected medication overdose with severe drowsiness.,High,H24
Been having I cannot breathe properly since last night.,High,H03
I have a painful wrist after a fall with significant swelling and need advice.,Moderate,M33
Symptoms: back pain that is making normal movement difficult.,Moderate,M23
"For the past couple of days, I have had slight nausea without vomiting.",Low,L12
Symptoms: blue lips together with severe breathing difficulty.,High,H13
The problem is coughing up blood together with breathing difficulty; and I would like medical advice.,High,H11
"For the past couple of days, I have had a mild dry cough without fever.",Low,L05
I have been having a mild tension headache after a stressful day; and I would like medical advice.,Low,L39
I've got repeated vomiting over several hours over the last few days.,Moderate,M17
"For the past couple of days, I have had sudden severe weakness on one side of the body.",High,H20
I would like to get checked because I have a seizure.,High,H06
Been having a painful wrist after a fall with significant swelling since last night.,Moderate,M33
Can someone help me? I have possible stroke symptoms.,High,H07
I need help with a small cut with light bleeding that stops with pressure.,Low,L36
"A severe allergic reaction with throat swelling and breathing difficulty, and I am not sure what to do.",High,H12
"Mild sinus pressure with no fever, and it seems to be getting worse.",Low,L26
Been having a very red painful eye but I can still see normally since yesterday.,Moderate,M30
I would like to get checked because I have severe chest pain.,High,H01
Can someone help me? I have a chronic condition that has become noticeably worse.,Moderate,M19
I have a swolen ankle after a fall and walking is painful and need advice.,Moderate,M24
I have been having a suspected medication overdose with severe drowsiness; and I am concerned about it.,High,H24
"Several seizures occurring close together, and I would like to speak to a clinician.",High,H18
Been having a very high fever with stiff neck and confusion for two days.,High,H28
Can someone help me? I have a mild headache.,Low,L01
The problem is a nosebleed that keeps returning but stops with pressure over the last few days.,Moderate,M34
I have a seizure that has continued for several minutes and need advice.,High,H17
I am dealing with heavy bleeding during pregnancy with severe abdominal pain.,High,H26
Can someone help me? I have painful urination with fever.,Moderate,M07
I've got a small bruise with no major swelling for the past three days.,Low,L17
"Uncontrolled bleeding after a serious accident, and it seems to be getting worse.",High,H38
The problem is a mild lower back ache after sitting for a long time over the last few days.,Low,L08
I would like to get checked because I have a painful wrist after a fall with significant swelling.,Moderate,M33
"Sudden confusion together with difficulty speaking, and I would like medical advice.",High,H21
Symptoms: a small cut that has already stopped bleeding.,Low,L09
Can someone help me? I have mild shoulder soreness after carrying bags.,Low,L29
I need help with ongoing nausea with reduced food and fluid intake.,Moderate,M25
I've got a minor rash with no fever or swelling.,Low,L34
I'm worried about a major injury with uncontrolled bleeding.,High,H22
I have back pain that is making normal movement difficult and need advice.,Moderate,M23
Symptoms: mild eye irritation without vision changes.,Low,L33
Can someone help me? I have recurrent abdominal cramps with vomiting.,Moderate,M38
"For the past couple of days, I have had back pain that is making normal movement difficult.",Moderate,M23
Can someone help me? I have persistent sinus pain with fever.,Moderate,M35
I would like to get checked because I have a painful swollen finger that may be infected.,Moderate,M39
Can someone help me? I have mild indigestion.,Low,L30
Symptoms: a deep wound with blood spurting or flowing heavily.,High,H23
"For the past couple of days, I have had repeated vomiting over several hours.",Moderate,M17
"Shortness of breath when walking but i can breathe while resting, and it is bothering me.",Moderate,M18
"For the past couple of days, I have had dizziness that keeps coming back.",Moderate,M04
I need help with a seizure that has continued for several minutes over the last few days.,High,H17
"For the past couple of days, I have had a mild lower back ache after sitting for a long time.",Low,L08
Symptoms: a small cut with light bleeding that stops with pressure.,Low,L36
I have a cough that has persisted for more than a week and need advice.,Moderate,M26
Been having a widespread rash with fever but no breathing difficulty over the last few days.,Moderate,M27
I've got several seizures occurring close together.,High,H18
I am dealing with sudden face drooping with weakness in one arm since yesterday.,High,H08
"For the past couple of days, I have had minor ankle soreness and I can still walk normally.",Low,L13
Lately I have had a very high fever with stiff neck and confusion; and it is bothering me.,High,H28
I need help with fever with body aches and weakness; and I would like medical advice.,Moderate,M10
I have a suspected medication overdose with sevre drowsiness and need advice.,High,H24
Symptoms: severe chest pain.,High,H01
I would like to get checked because I have persistent sinus pain with fever.,Moderate,M35
"A strong headache with dizziness but no weakness on one side, and I am concerned about it.",Moderate,M13
I am dealing with painful urination with fever; and I would like medical advice.,Moderate,M07
Been having a painful swollen finger that may be infected for several hours.,Moderate,M39
I'm worried about a swollen ankle after a fall and walking is painful; and it seems to be getting worse.,Moderate,M24
I've got a mild cough with no breathing difficulty over the last few days.,Low,L37
Can someone help me? I have mild arm soreness after normal activity.,Low,L35
I would like to get checked because I have persistent vomiting and difficulty keeping food down.,Moderate,M02
Been having a small cut that has already stopped bleeding for two days.,Low,L09
I would like to get checked because I have mild seasonal allergy symptoms.,Low,L32
I would like to get checked because I have sudden severe weakness on one side of the body.,High,H20
The problem is occasional constipation without severe pain.,Low,L19
Been having mild heartburn after eating since last night.,Low,L18
"For the past couple of days, I have had severe chest pain.",High,H01
The problem is slight bloating after meals.,Low,L31
I would like to get checked because I have ongoing nausea with reduced food and fluid intake.,Moderate,M25
"For the past couple of days, I have had mild seasonal allergy symptoms.",Low,L32
Been having mild skin itching with no swelling for two days.,Low,L20
Symptoms: slight bloating after meals.,Low,L31
Lately I have had a small bruise with no major swelling.,Low,L17
"A worsening cough together with fever, and it has not improved.",Moderate,M08
"Sudden loss of vision in one or both eyes, and I would like medical advice.",High,H32
My main problem is mild sinus pressure with no fever.,Low,L26
"Mild arm soreness after normal activity, and it is bothering me.",Low,L35
Can someone help me? I have mild ear discomfort without fever.,Low,L14
I have vomiting blood since this morning.,High,H30
Can someone help me? I have mild neck stiffness after sleeping awkwardly.,Low,L24
Can someone help me? I have a painful swollen finger that may be infected.,Moderate,M39
"For the past couple of days, I have had a painful wrist after a fall with significant swelling.",Moderate,M33
I am dealing with occasional constipation without severe pain; and I would like medical advice.,Low,L19
I'm worried about a swollen painful joint.,Moderate,M14
I have been having back pain that is making normal movement difficult; and it has not improved.,Moderate,M23
Been having severe abdominal pain together with fainting since this morning.,High,H29
"A serious burn involving the face or airway, and it has not improved.",High,H25
I need help with strong chest pressure spreading to the arm or jaw; and it is bothering me.,High,H15
Symptoms: mild indigestion.,Low,L30
My main problem is severe breathing difficulty with confusion or extreme drowsiness.,High,H40
I need help with fever that has continued for three days since last night.,Moderate,M20
I would like to get checked because I have a suspected medication overdose with severe drowsiness.,High,H24
