symptoms,urgency
I have been having swollen painful joint and I am worried and it started recently.,Moderate
I need help with severe allergic reaction with breathing difficulty that is getting worse and it has not improved.,High
I have minor rash for two days and it is bothering me.,Low
The main problem is worsening cough with fever since this morning and it is bothering me.,Moderate
I have been having collapsed and unresponsive during the day and it is bothering me.,High
I feel mild sore throat for two days and it started recently.,Low
For the past few days I have painful urination mostly at night and I want to know what to do.,Moderate
Patient reports choking and cannot breathe mostly at night and it has not improved.,High
I have been having fever with body aches and I am worried and I am looking for medical advice.,Moderate
I feel difficulty breathing after waking up and it is bothering me.,High
I have cannot breathe properly mostly at night and it has not improved.,High
For the past few days I have persistent diarrhoea since this morning and I am looking for medical advice.,Moderate
I have been having severe head injury with loss of consciousness and it started recently.,High
I have coughing blood with breathing difficulty since this morning and it has not improved.,High
I have continuous seizure and I am worried and I would like to speak to a doctor.,High
Patient reports painful urination during the day and I am looking for medical advice.,Moderate
Patient reports minor muscle ache mostly at night and it started recently.,Low
For the past few days I have collapsed and unresponsive that is getting worse and I am looking for medical advice.,High
I have mild back ache during the day and it started recently.,Low
Patient reports minor ankle pain and I am worried and it has not improved.,Low
I am experiencing infected wound and I am worried and I want to know what to do.,Moderate
Patient reports fever lasting several days during the day and I want to know what to do.,Moderate
I feel mild back ache that is getting worse and it has not improved.,Low
Symptoms include infected wound with no improvement and it is bothering me.,Moderate
Symptoms include swollen painful joint that is getting worse and I would like to speak to a doctor.,Moderate
I am experiencing seizure that is getting worse and I want to know what to do.,High
I have been having collapsed and unresponsive with no improvement and it started recently.,High
For the past few days I have worsening chronic illness symptoms for two days and it has not improved.,Moderate
Since yesterday I have persistent ear pain with fever mostly at night and I would like to speak to a doctor.,Moderate
I have been having persistent vomiting during the day and it has not improved.,Moderate
I have been having coughing blood with breathing difficulty during the day and I want to know what to do.,High
Since yesterday I have suspected infection and need advice and I want to know what to do.,Moderate
Symptoms include heavy bleeding after waking up and it is bothering me.,High
I am experiencing runny nose and I am worried and it started recently.,Low
Since yesterday I have worsening asthma symptoms without severe breathing difficulty after waking up and I want to know what to do.,Moderate
I need help with swollen painful joint and I am worried and it started recently.,Moderate
For the past few days I have fever with body aches during the day and it is bothering me.,Moderate
The main problem is repeated vomiting for two days and I am looking for medical advice.,Moderate
I am experiencing dehydration and I am worried and it has not improved.,Moderate
I am experiencing mild headache since this morning and it is bothering me.,Low
I have medicine refill request during the day and I would like to speak to a doctor.,Low
Patient reports cannot breathe properly and I am worried and it is bothering me.,High
Since yesterday I have collapsed and unresponsive mostly at night and I am looking for medical advice.,High
I have been having persistent ear pain with fever with no improvement and I am looking for medical advice.,Moderate
Since yesterday I have difficulty breathing that is getting worse and I would like to speak to a doctor.,High
Patient reports mild headache and I am worried and it has not improved.,Low
Since yesterday I have repeat prescription request and I am worried and it started recently.,Low
Patient reports fever with body aches that is getting worse and I would like to speak to a doctor.,Moderate
Since yesterday I have seizure for two days and it started recently.,High
Symptoms include suspected infection and I am worried and I want to know what to do.,Moderate
For the past few days I have sudden inability to speak during the day and it has not improved.,High
I have been having possible stroke for two days and it is bothering me.,High
I have been having high fever during the day and it is bothering me.,Moderate
Symptoms include mild back ache for two days and it started recently.,Low
I need help with difficulty breathing since this morning and I am looking for medical advice.,High
I have been having blue lips with breathing difficulty with no improvement and I am looking for medical advice.,High
For the past few days I have mild ear discomfort after waking up and I would like to speak to a doctor.,Low
I feel suspected infection mostly at night and I am looking for medical advice.,Moderate
I feel severe allergic reaction with breathing difficulty since this morning and it has not improved.,High
I feel persistent vomiting and I am worried and it is bothering me.,Moderate
The main problem is repeated vomiting for two days and I am looking for medical advice.,Moderate
Symptoms include very severe chest pressure that is getting worse and it is bothering me.,High
I feel fever with body aches after waking up and I am looking for medical advice.,Moderate
I have been having moderate shortness of breath since this morning and I am looking for medical advice.,Moderate
I am experiencing mild cough and I am worried and it is bothering me.,Low
Patient reports mild stomach discomfort with no improvement and it started recently.,Low
Symptoms include choking and cannot breathe that is getting worse and it is bothering me.,High
I have been having fever lasting several days during the day and it is bothering me.,Moderate
The main problem is mild headache and I want to know what to do.,Low
Patient reports collapsed and unresponsive and it has not improved.,High
I am experiencing fever lasting several days during the day and I would like to speak to a doctor.,Moderate
I have been having persistent vomiting and I want to know what to do.,Moderate
Patient reports fever lasting several days for two days and it started recently.,Moderate
I feel small bruise since this morning and it has not improved.,Low
I need help with severe allergic reaction with breathing difficulty since this morning and I am looking for medical advice.,High
I have been having struggling to breathe after waking up and it has not improved.,High
Since yesterday I have high fever that is getting worse and it is bothering me.,Moderate
I am experiencing uncontrolled bleeding that is getting worse and I would like to speak to a doctor.,High
The main problem is mild cough and need advice and it has not improved.,Low
I have slight nausea mostly at night and I want to know what to do.,Low
I need help with slight nausea and I am worried and I want to know what to do.,Low
Symptoms include minor ankle pain with no improvement and I want to know what to do.,Low
I am experiencing blue lips with breathing difficulty after waking up and it is bothering me.,High
I feel unconscious after waking up and it started recently.,High
Patient reports high fever since this morning and it is bothering me.,Moderate
I have repeat prescription request and need advice and I want to know what to do.,Low
For the past few days I have repeated vomiting and I want to know what to do.,Moderate
Since yesterday I have worsening asthma symptoms without severe breathing difficulty and I am worried and I want to know what to do.,Moderate
I have persistent diarrhoea and I am worried and I am looking for medical advice.,Moderate
I need help with suspected infection and need advice and it started recently.,Moderate
Symptoms include mild sore throat for two days and I am looking for medical advice.,Low
I feel worsening cough with fever during the day and it started recently.,Moderate
I have been having blocked nose after waking up and it is bothering me.,Low
Patient reports runny nose and need advice and it started recently.,Low
I have been having suspected infection since this morning and it started recently.,Moderate
Since yesterday I have slight nausea after waking up and it has not improved.,Low
I have moderate shortness of breath mostly at night and I want to know what to do.,Moderate
I need help with sudden severe weakness on one side that is getting worse and it is bothering me.,High
The main problem is minor muscle ache for two days and I am looking for medical advice.,Low
I am experiencing moderate shortness of breath and it started recently.,Moderate
I need help with itchy eyes mostly at night and it started recently.,Low
Patient reports small bruise mostly at night and it has not improved.,Low
Symptoms include dehydration that is getting worse and it has not improved.,Moderate
I need help with high fever mostly at night and it is bothering me.,Moderate
I need help with small cough with no improvement and it is bothering me.,Low
I feel continuous seizure during the day and I am looking for medical advice.,High
For the past few days I have seizure mostly at night and I would like to speak to a doctor.,High
I am experiencing difficulty breathing with no improvement and it has not improved.,High
Patient reports uncontrolled bleeding and I am worried and I want to know what to do.,High
I feel moderate headache with dizziness after waking up and I would like to speak to a doctor.,Moderate
Patient reports unconscious and I am worried and it started recently.,High
I have been having moderate abdominal pain with no improvement and it started recently.,Moderate
I am experiencing mild cough mostly at night and I am looking for medical advice.,Low
Patient reports swollen painful joint for two days and it has not improved.,Moderate
I have coughing blood with breathing difficulty with no improvement and it is bothering me.,High
Since yesterday I have moderate abdominal pain and it started recently.,Moderate
The main problem is severe pain mostly at night and I want to know what to do.,Moderate
Symptoms include chest pain since this morning and I would like to speak to a doctor.,High
Since yesterday I have mild cough mostly at night and it started recently.,Low
The main problem is mild stomach discomfort and I am worried and I want to know what to do.,Low
The main problem is infected wound during the day and it is bothering me.,Moderate
I have repeat prescription request and I am worried and I want to know what to do.,Low
Since yesterday I have minor rash and I am worried and it is bothering me.,Low
The main problem is severe head injury with loss of consciousness and need advice and I would like to speak to a doctor.,High
Since yesterday I have heavy bleeding mostly at night and it started recently.,High
I have been having continuous seizure after waking up and it is bothering me.,High
The main problem is moderate shortness of breath that is getting worse and I am looking for medical advice.,Moderate
I have minor muscle ache that is getting worse and I would like to speak to a doctor.,Low
The main problem is moderate abdominal pain that is getting worse and I would like to speak to a doctor.,Moderate
I am experiencing very severe chest pressure mostly at night and I want to know what to do.,High
I need help with struggling to breathe and need advice and it has not improved.,High
I have been having small cut that has stopped bleeding mostly at night and I would like to speak to a doctor.,Low
I have been having blocked nose during the day and it started recently.,Low
I feel struggling to breathe and I am worried and I want to know what to do.,High
I am experiencing repeat prescription request during the day and I would like to speak to a doctor.,Low
I need help with sudden severe weakness on one side since this morning and it started recently.,High
I need help with continuous seizure and it has not improved.,High
I need help with moderate headache with dizziness after waking up and it started recently.,Moderate
Since yesterday I have moderate headache with dizziness with no improvement and I would like to speak to a doctor.,Moderate
I have been having chest pain during the day and I want to know what to do.,High
I have been having worsening cough with fever and it is bothering me.,Moderate
Symptoms include blocked nose since this morning and I am looking for medical advice.,Low
I have persistent ear pain with fever during the day and I am looking for medical advice.,Moderate
I feel small bruise that is getting worse and it has not improved.,Low
I need help with moderate headache with dizziness for two days and it is bothering me.,Moderate
Patient reports face drooping with weak arm and I am worried and I want to know what to do.,High
Since yesterday I have high fever and it is bothering me.,Moderate
Since yesterday I have mild ear discomfort after waking up and it has not improved.,Low
Since yesterday I have worsening cough with fever and I am worried and it started recently.,Moderate
Patient reports worsening chronic illness symptoms during the day and it has not improved.,Moderate
Since yesterday I have moderate headache with dizziness mostly at night and I would like to speak to a doctor.,Moderate
I have been having seizure since this morning and it has not improved.,High
I have possible stroke and I would like to speak to a doctor.,High
I am experiencing moderate abdominal pain and I am worried and I am looking for medical advice.,Moderate
